,Individual words,Occurrences
894,Help,2
895,Hence,1
896,Henrique,1
897,Henry,1
898,Her,5
899,Heraldo,1
900,Here,14
901,Herod,1
902,Herrera,6
903,Hes,1
904,Hey,5
905,Hide,1
906,Hierro,3
907,High,1
908,Hilda,1
909,Hill,1
910,His,7
911,Hispanic,4
912,Hispanics,2
913,Historic,1
914,History,2
915,Hit,1
916,Hitler,5
917,Hold,1
918,Holinesss,1
919,Holy,1
920,Homeland,1
921,Honduran,1
922,Honduras,1
923,Honest,1
924,Honestly,3
925,Honor,1
926,Honoring,1
927,Hopefully,2
928,Horcas,2
929,Hordes,1
930,Hortaleza,3
931,Hosna,2
932,Hospital,5
933,Hotels,1
934,Hour,1
935,Hours,3
936,Houston,2
937,How,41
938,However,3
939,Huelva,1
940,Huesca,1
941,Hugs,1
942,Human,1
943,Hungarian,4
944,Hungary,1
945,Hunting,1
946,I,820
947,ICE,2
948,ID,2
949,IDIAP,1
950,IDIOT,2
951,IF,2
952,IGLESIAS,1
953,ILLEGAL,8
954,ILLEGALS,1
955,IM,1
956,IMAGINE,1
957,IMBECILE,1
958,IMMIGRANT,27
959,IMMIGRANTS,6
960,IMMIGRATION,3
961,IMPACT,1
962,IMPRESSIVE,1
963,IMmigrant,2
964,IN,10
965,INCOME,1
966,INCREASING,1
967,INDEPES,3
968,INE,1
969,INFORMATION,1
970,INJURED,1
971,INTERPOL,1
972,INVADER,1
973,INVADERS,3
974,IQ,2
975,IRPF,1
976,IRRESPONSIBLE,1
977,IS,28
978,ISLANDS,1
979,ISSUE,1
980,IT,15
981,ITS,1
982,IV,1
983,IVORY,1
984,Ibargen,1
985,Id,1
986,Ideological,1
987,Idiot,1
988,If,118
989,Igea,2
990,Iglesias,6
991,Ignacio,1
992,Igor,1
993,Iker,2
994,Ilevan,1
995,Iliana,1
996,Iliass,1
997,Ill,11
998,Illa,2
999,Illegal,12
1000,Illegals,2
1001,Illia,1
1002,Im,77
1003,Imagine,4
1004,Imbrunnone,1
1005,Immediate,2
1006,Immigrant,47
1007,Immigrante,1
1008,Immigrants,4
1009,Immigrate,1
1010,Immigration,5
1011,In,68
1012,InCorrecto,1
1013,Incredible,1
1014,Independentistas,1
1015,Indepes,1
1016,India,1
1017,Indian,5
1018,Inequality,1
1019,Inmigrante,3
1020,Inocente,2
1021,Input,1
1022,Instagram,3
1023,Instead,1
1024,Insults,1
1025,Integration,1
1026,Intelligence,1
1027,International,1
1028,Interpol,1
1029,Invisible,1
1030,Iragorry,1
1031,Iran,2
1032,Irene,2
1033,Irenova,1
1034,Irish,1
1035,IronMan,1
1036,Is,14
1037,Isa,1
1038,Isabel,1
1039,Isac,2
1040,Islam,2
1041,Islamic,8
1042,Islamism,1
1043,Islamist,3
1044,Islander,1
1045,Islands,54
1046,Isnt,2
1047,Isodorus,1
1048,Israel,1
1049,It,84
1050,Italia,1
1051,Italian,16
1052,Italiano,1
1053,Italians,1
1054,Italy,2
1055,Its,49
1056,Ive,7
1057,Izquierdo,1
1058,J,1
1059,JANUARY,1
1060,JASHDJDHJS,1
1061,JESUS,1
1062,JET,1
1063,JFV,1
1064,JOE,1
1065,JOKE,1
1066,JOURNALISTS,1
1067,Jable,1
1068,Jamaica,1
1069,James,6
1070,Jan,1
1071,January,5
1072,Japanese,1
1073,Jarqun,1
1074,Javier,1
1075,Jean,1
1076,Jesus,7
1077,Jewish,11
1078,Jews,2
1079,Jimin,1
1080,Jimnez,1
1081,Joanovici,1
1082,Joe,2
1083,Jogging,1
1084,John,1
1085,Join,1
1086,Jokingly,1
1087,Jorge,1
1088,Jos,4
1089,Jose,1
1090,Joseph,4
1091,Juan,1
1092,Juanita,1
1093,Judea,1
1094,Judean,1
1095,Judeophobic,1
1096,Judges,1
1097,Judith,1
1098,Julio,1
1099,June,1
1100,Junkie,1
1101,Juntaletras,1
1102,Just,12
1103,K,2
1104,KILLED,2
1105,KILLER,2
1106,KINGDOM,1
1107,KJJJJ,1
1108,KKK,3
1109,KM,2
1110,KNDY,1
1111,KNEW,1
1112,KNOW,2
1113,KNOWS,1
1114,KalesBorrokas,1
1115,Kamala,4
1116,Kaoute,1
1117,Karik,3
1118,Katalin,3
1119,Kazakh,1
1120,Kazakhstan,1
1121,Keep,1
1122,Kevin,1
1123,Keylor,1
1124,Khalid,1
1125,Kichi,1
1126,King,3
1127,Kingdom,5
1128,Kings,1
1129,Kirchner,2
1130,Kirznert,1
1131,Kisses,1
1132,Kissssssss,1
1133,Klan,1
1134,Klux,1
1135,Koran,2
1136,Koreas,1
1137,Ku,1
1138,Kuala,1
1139,LA,1
1140,LAMBS,1
1141,LATIN,2
1142,LAW,2
1143,LAWS,1
1144,LAZY,1
1145,LEAVE,2
1146,LEFT,1
1147,LEGACY,1
1148,LEGAL,1
1149,LEGALLY,1
